Name,Financial Status,Fulfillment Status,Taxes,Total,Discount Amount,Created_at (UTC),Lineitem quantity,Lineitem price,Cancelled at,Payment Method,Refunded Amount,Location,Source,Lineitem name,Day,Day_Type,Hour,Month,Horario_correcto
MX29-2071,paid,fulfilled,4.14,30.0,0.0,04/02/2018 18:12:00,1,30.0,No cancelado,External Credit,0.0,Tienda A,pos,Polanco,Domingo,Fin de Semana,18,Febrero,True
MX29-2072,paid,fulfilled,248.28,1800.0,0.0,04/02/2018 18:43:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Domingo,Fin de Semana,18,Febrero,True
MX29-2073,paid,fulfilled,400.0,2900.0,0.0,04/02/2018 19:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Domingo,Fin de Semana,19,Febrero,True
MX29-2074,paid,fulfilled,344.83,2500.0,0.0,04/02/2018 19:25:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Domingo,Fin de Semana,19,Febrero,True
MX29-2075,paid,fulfilled,234.48,1700.0,100.0,04/02/2018 19:38:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Domingo,Fin de Semana,19,Febrero,True
MX29-2091,paid,fulfilled,344.83,2500.0,0.0,05/02/2018 18:12:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Lunes,Entre Semana,18,Febrero,True
MX29-2092,paid,fulfilled,248.28,1800.0,0.0,05/02/2018 18:30:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,GONZO,Lunes,Entre Semana,18,Febrero,True
MX29-2093,paid,fulfilled,248.28,1800.0,0.0,05/02/2018 18:42:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,TRUMAN,Lunes,Entre Semana,18,Febrero,True
MX29-2094,paid,fulfilled,248.28,1800.0,0.0,05/02/2018 19:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Lunes,Entre Semana,19,Febrero,True
MX29-2095,paid,fulfilled,248.28,1800.0,0.0,05/02/2018 19:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Lunes,Entre Semana,19,Febrero,True
MX29-2096,paid,fulfilled,317.24,2300.0,0.0,05/02/2018 19:46:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,DARIA JR,Lunes,Entre Semana,19,Febrero,True
MX29-2097,partially_refunded,fulfilled,248.28,1800.0,0.0,05/02/2018 19:52:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,TRUMAN,Lunes,Entre Semana,19,Febrero,True
MX29-2115,paid,fulfilled,62.07,450.0,0.0,06/02/2018 18:21:00,1,450.0,No cancelado,Cash,0.0,Tienda A,pos,Mica Monofocal,Martes,Entre Semana,18,Febrero,True
MX29-2116,paid,fulfilled,609.66,4420.0,0.0,06/02/2018 18:27:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Martes,Entre Semana,18,Febrero,True
MX29-2117,paid,fulfilled,248.28,1800.0,0.0,06/02/2018 19:42:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,CLARK,Martes,Entre Semana,19,Febrero,True
MX29-2134,paid,fulfilled,227.58,1650.0,150.0,08/02/2018 19:21:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL,Jueves,Entre Semana,19,Febrero,True
MX29-2144,paid,fulfilled,862.07,6250.0,0.0,09/02/2018 18:33:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,BARRAGAN,Viernes,Fin de Semana,18,Febrero,True
MX29-2145,paid,fulfilled,248.28,1800.0,0.0,09/02/2018 18:52:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,WOODY,Viernes,Fin de Semana,18,Febrero,True
MX29-2162,paid,fulfilled,248.28,1800.0,0.0,10/02/2018 18:43:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD,Sábado,Fin de Semana,18,Febrero,True
MX29-2163,paid,fulfilled,248.28,1800.0,0.0,10/02/2018 19:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,TRUMAN,Sábado,Fin de Semana,19,Febrero,True
MX29-2164,paid,fulfilled,248.28,1800.0,0.0,10/02/2018 19:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,GONZO,Sábado,Fin de Semana,19,Febrero,True
MX29-2165,paid,fulfilled,248.28,1800.0,0.0,10/02/2018 19:21:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,DARIA,Sábado,Fin de Semana,19,Febrero,True
MX29-2166,partially_refunded,fulfilled,248.28,1800.0,0.0,10/02/2018 19:29:00,1,1799.99,No cancelado,Cash + External Credit,150.0,Tienda A,pos,TRUMAN,Sábado,Fin de Semana,19,Febrero,True
MX29-2167,paid,fulfilled,96.55,700.0,0.0,10/02/2018 19:49:00,1,700.0,No cancelado,External Credit,0.0,Tienda A,pos,Clipon,Sábado,Fin de Semana,19,Febrero,True
MX29-2185,paid,fulfilled,248.28,1800.0,0.0,11/02/2018 18:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,GONZO,Domingo,Fin de Semana,18,Febrero,True
MX29-2186,paid,fulfilled,227.58,1650.0,150.0,11/02/2018 19:01:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Domingo,Fin de Semana,19,Febrero,True
MX29-2187,paid,fulfilled,248.28,1800.0,0.0,11/02/2018 19:05:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Domingo,Fin de Semana,19,Febrero,True
MX29-2188,paid,fulfilled,248.28,1800.0,0.0,11/02/2018 19:32:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,HAWKING,Domingo,Fin de Semana,19,Febrero,True
MX29-2189,paid,fulfilled,517.24,3750.0,0.0,11/02/2018 19:42:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Domingo,Fin de Semana,19,Febrero,True
MX29-2190,paid,fulfilled,248.28,1800.0,0.0,11/02/2018 19:49:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Domingo,Fin de Semana,19,Febrero,True
MX29-2210,paid,fulfilled,0.0,0.0,1800.0,13/02/2018 18:29:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,HAWKING,Martes,Entre Semana,18,Febrero,True
MX29-2220,paid,fulfilled,468.97,3400.0,0.0,15/02/2018 18:38:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ESQUIVEL,Jueves,Entre Semana,18,Febrero,True
MX29-2221,paid,fulfilled,344.83,2500.0,0.0,15/02/2018 18:49:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Jueves,Entre Semana,18,Febrero,True
MX29-2222,paid,fulfilled,248.28,1800.0,0.0,15/02/2018 19:01:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,GONZO,Jueves,Entre Semana,19,Febrero,True
MX29-2223,paid,fulfilled,248.28,1800.0,0.0,15/02/2018 19:46:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Jueves,Entre Semana,19,Febrero,True
MX29-2236,paid,fulfilled,248.28,1800.0,0.0,16/02/2018 19:06:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL,Viernes,Fin de Semana,19,Febrero,True
MX29-2237,paid,fulfilled,248.28,1800.0,0.0,16/02/2018 19:20:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,MOLEMAN,Viernes,Fin de Semana,19,Febrero,True
MX29-2247,paid,fulfilled,268.97,1950.0,0.0,17/02/2018 18:46:00,1,1950.0,No cancelado,External Credit,0.0,Tienda A,pos,Micas Progresivas,Sábado,Fin de Semana,18,Febrero,True
MX29-2248,paid,fulfilled,248.28,1800.0,0.0,17/02/2018 19:58:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Sábado,Fin de Semana,19,Febrero,True
MX29-2266,partially_refunded,fulfilled,248.28,1800.0,0.0,18/02/2018 18:23:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,RUDYARD,Domingo,Fin de Semana,18,Febrero,True
MX29-2267,partially_refunded,fulfilled,248.28,1800.0,0.0,18/02/2018 18:26:00,1,1799.99,No cancelado,External Credit,150.0,Tienda A,pos,PARKS,Domingo,Fin de Semana,18,Febrero,True
MX29-2268,paid,fulfilled,248.28,1800.0,0.0,18/02/2018 19:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,LUCAS,Domingo,Fin de Semana,19,Febrero,True
MX29-2269,partially_refunded,fulfilled,248.28,1800.0,0.0,18/02/2018 19:36:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,CHAVELA,Domingo,Fin de Semana,19,Febrero,True
MX29-2270,paid,fulfilled,248.28,1800.0,0.0,18/02/2018 19:46:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,GONZO,Domingo,Fin de Semana,19,Febrero,True
MX29-2286,paid,fulfilled,234.48,1700.0,100.0,20/02/2018 18:16:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Martes,Entre Semana,18,Febrero,True
MX29-2287,paid,fulfilled,227.58,1650.0,150.0,20/02/2018 18:50:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Martes,Entre Semana,18,Febrero,True
MX29-2288,paid,fulfilled,248.28,1800.0,0.0,20/02/2018 19:10:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,GONZO,Martes,Entre Semana,19,Febrero,True
MX29-2289,paid,fulfilled,344.83,2500.0,0.0,20/02/2018 19:30:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR,Martes,Entre Semana,19,Febrero,True
MX29-2301,paid,fulfilled,400.0,2900.0,0.0,21/02/2018 19:18:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,RUDYARD,Miercoles,Entre Semana,19,Febrero,True
MX29-2308,paid,fulfilled,248.28,1800.0,0.0,22/02/2018 18:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Jueves,Entre Semana,18,Febrero,True
MX29-2309,paid,fulfilled,248.28,1800.0,0.0,22/02/2018 19:03:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Jueves,Entre Semana,19,Febrero,True
MX29-2310,paid,fulfilled,227.58,1650.0,150.0,22/02/2018 19:20:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Jueves,Entre Semana,19,Febrero,True
MX29-2317,paid,fulfilled,248.28,1800.0,0.0,24/02/2018 18:09:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Sábado,Fin de Semana,18,Febrero,True
MX29-2318,paid,fulfilled,248.28,1800.0,0.0,24/02/2018 18:16:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MARTIN,Sábado,Fin de Semana,18,Febrero,True
MX29-2319,paid,fulfilled,248.28,1800.0,0.0,24/02/2018 18:21:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Sábado,Fin de Semana,18,Febrero,True
MX29-2320,paid,fulfilled,317.24,2300.0,0.0,24/02/2018 18:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Sábado,Fin de Semana,18,Febrero,True
MX29-2321,paid,fulfilled,317.24,2300.0,0.0,24/02/2018 18:44:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,OROZCO,Sábado,Fin de Semana,18,Febrero,True
MX29-2322,paid,fulfilled,227.58,1650.0,150.0,24/02/2018 18:54:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,SEYMOUR,Sábado,Fin de Semana,18,Febrero,True
MX29-2323,paid,fulfilled,496.55,3600.0,0.0,24/02/2018 19:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,COOPER,Sábado,Fin de Semana,19,Febrero,True
MX29-2324,paid,fulfilled,593.1,4300.0,0.0,24/02/2018 19:04:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,DARIA JR,Sábado,Fin de Semana,19,Febrero,True
MX29-2341,paid,fulfilled,5.52,40.0,0.0,25/02/2018 18:17:00,1,40.0,No cancelado,External Credit,0.0,Tienda A,pos,Polanco,Domingo,Fin de Semana,18,Febrero,True
MX29-2342,paid,fulfilled,344.83,2500.0,0.0,25/02/2018 18:24:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,TRUMAN,Domingo,Fin de Semana,18,Febrero,True
MX29-2343,paid,fulfilled,16.55,120.0,0.0,25/02/2018 18:40:00,1,120.0,No cancelado,External Credit,0.0,Tienda A,pos,Polanco,Domingo,Fin de Semana,18,Febrero,True
MX29-2344,partially_refunded,fulfilled,593.1,4300.0,0.0,25/02/2018 19:21:00,1,1799.99,No cancelado,Cash,150.0,Tienda A,pos,MARTIN,Domingo,Fin de Semana,19,Febrero,True
MX29-2366,paid,fulfilled,248.28,1800.0,0.0,27/02/2018 18:59:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ESQUIVEL,Martes,Entre Semana,18,Febrero,True
MX29-2367,paid,fulfilled,248.28,1800.0,0.0,27/02/2018 19:26:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Martes,Entre Semana,19,Febrero,True
MX29-2368,paid,fulfilled,0.0,0.0,1800.0,27/02/2018 19:39:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,SEYMOUR,Martes,Entre Semana,19,Febrero,True
MX29-2379,paid,fulfilled,248.28,1800.0,0.0,28/02/2018 18:07:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,JANIS,Miercoles,Entre Semana,18,Febrero,True
MX29-2380,paid,fulfilled,248.28,1800.0,0.0,28/02/2018 19:13:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Miercoles,Entre Semana,19,Febrero,True
MX29-2381,paid,fulfilled,248.28,1800.0,0.0,28/02/2018 19:53:00,1,1799.99,No cancelado,Cash + External Credit,0.0,Tienda A,pos,LEON,Miercoles,Entre Semana,19,Febrero,True
MX29-2389,paid,fulfilled,2.07,15.0,0.0,01/03/2018 18:34:00,1,15.0,No cancelado,Cash,0.0,Tienda A,pos,Polanco,Jueves,Entre Semana,18,Marzo,True
MX29-2390,paid,fulfilled,0.0,0.0,1800.0,01/03/2018 18:42:00,1,1799.99,No cancelado,No efectuado,0.0,Tienda A,pos,LUCAS,Jueves,Entre Semana,18,Marzo,True
MX29-2409,paid,fulfilled,517.24,3750.0,0.0,03/03/2018 18:12:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,CLARK,Sábado,Fin de Semana,18,Marzo,True
MX29-2410,paid,fulfilled,248.28,1800.0,0.0,03/03/2018 18:28:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Sábado,Fin de Semana,18,Marzo,True
MX29-2411,paid,fulfilled,248.28,1800.0,0.0,03/03/2018 18:32:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,PARKS,Sábado,Fin de Semana,18,Marzo,True
MX29-2412,paid,fulfilled,344.83,2500.0,0.0,03/03/2018 19:01:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Sábado,Fin de Semana,19,Marzo,True
MX29-2413,paid,fulfilled,227.58,1650.0,150.0,03/03/2018 19:07:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,MOLEMAN,Sábado,Fin de Semana,19,Marzo,True
MX29-2414,paid,fulfilled,441.38,3200.0,0.0,03/03/2018 19:31:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Sábado,Fin de Semana,19,Marzo,True
MX29-2431,paid,fulfilled,248.28,1800.0,0.0,04/03/2018 18:14:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,REVUELTAS,Domingo,Fin de Semana,18,Marzo,True
MX29-2432,paid,fulfilled,248.28,1800.0,0.0,04/03/2018 18:23:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,BARRAGAN,Domingo,Fin de Semana,18,Marzo,True
MX29-2433,paid,fulfilled,737.93,5350.0,0.0,04/03/2018 18:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,LEON,Domingo,Fin de Semana,18,Marzo,True
MX29-2434,paid,fulfilled,344.83,2500.0,0.0,04/03/2018 19:07:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ALDOUS,Domingo,Fin de Semana,19,Marzo,True
MX29-2435,paid,fulfilled,248.28,1800.0,0.0,04/03/2018 19:13:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,TRUMAN,Domingo,Fin de Semana,19,Marzo,True
MX29-2436,paid,fulfilled,248.28,1800.0,0.0,04/03/2018 19:36:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,LEON,Domingo,Fin de Semana,19,Marzo,True
MX29-2457,paid,fulfilled,517.24,3750.0,0.0,06/03/2018 18:30:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ALDOUS,Martes,Entre Semana,18,Marzo,True
MX29-2458,paid,fulfilled,248.28,1800.0,0.0,06/03/2018 18:41:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,COOPER,Martes,Entre Semana,18,Marzo,True
MX29-2466,paid,fulfilled,344.83,2500.0,0.0,08/03/2018 18:53:00,1,1799.99,No cancelado,Cash,0.0,Tienda A,pos,ESQUIVEL,Jueves,Entre Semana,18,Marzo,True
MX29-2467,paid,fulfilled,248.28,1800.0,0.0,08/03/2018 19:15:00,1,1799.99,No cancelado,External Credit,0.0,Tienda A,pos,ESQUIVEL,Jueves,Entre Semana,19,Marzo,True
MX29-2474,paid,fulfilled,8.28,60.0,0.0,09/03/2018 19:00:00,2,30.0,No cancelado,External Credit,0.0,Tienda A,pos,Polanco,Viernes,Fin de Semana,19,Marzo,True
MX29-2502,paid,fulfilled,248.28,1800.0,0.0,22/03/2018 18:31:00,1,1799.99,No cancelado,Cash,0.0,Tienda C,pos,WOODY,Jueves,Entre Semana,18,Marzo,True
MX29-2503,partially_refunded,fulfilled,248.28,1800.0,0.0,22/03/2018 19:53:00,1,1799.99,No cancelado,Cash,150.0,Tienda C,pos,MARTIN,Jueves,Entre Semana,19,Marzo,True
MX29-2513,paid,fulfilled,248.28,1800.0,0.0,24/03/2018 18:00:00,1,1799.99,No cancelado,External Credit,0.0,Tienda C,pos,COOPER,Sábado,Fin de Semana,18,Marzo,True
MX29-2514,paid,fulfilled,227.59,1650.0,150.0,24/03/2018 18:53:00,1,1799.99,No cancelado,External Credit,0.0,Tienda C,pos,CLARK,Sábado,Fin de Semana,18,Marzo,True
MX29-2515,paid,fulfilled,248.28,1800.0,0.0,24/03/2018 19:11:00,1,1799.99,No cancelado,External Credit,0.0,Tienda C,pos,TRUMAN,Sábado,Fin de Semana,19,Marzo,True
MX29-2516,paid,fulfilled,248.28,1800.0,0.0,24/03/2018 19:37:00,1,1799.99,No cancelado,External Credit,0.0,Tienda C,pos,GONZO,Sábado,Fin de Semana,19,Marzo,True
MX29-2517,partially_refunded,fulfilled,248.28,1800.0,0.0,24/03/2018 19:53:00,1,1799.99,No cancelado,External Credit,150.0,Tienda C,pos,CLARK,Sábado,Fin de Semana,19,Marzo,True
MX29-2531,partially_refunded,fulfilled,303.45,2200.0,100.0,28/03/2018 18:47:00,1,1799.99,No cancelado,External Credit,50.0,Tienda B,pos,REVUELTAS,Miercoles,Entre Semana,18,Marzo,True
MX29-2532,paid,fulfilled,248.28,1800.0,0.0,28/03/2018 19:02:00,1,1799.99,No cancelado,External Credit,0.0,Tienda B,pos,JANIS,Miercoles,Entre Semana,19,Marzo,True
MX29-2533,paid,fulfilled,96.55,700.0,0.0,28/03/2018 19:20:00,1,700.0,No cancelado,Cash,0.0,Tienda B,pos,Clipon,Miercoles,Entre Semana,19,Marzo,True
